geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1007283-2,Kaolinite,,,,,,,
emu:/test/etaxonomy/1015588-0,Zunyite,,,,,,,
emu:/test/etaxonomy/1009018-0,Molybdenite,,,,,,,
emu:/test/etaxonomy/1013210-0,Sklodowskite,,,,,,,
emu:/test/etaxonomy/1002221-0,Braunite,,,,,,,
emu:/test/etaxonomy/1005244-0,Gamagarite,,,,,,,
emu:/test/etaxonomy/1005687-0,Goethite,,,,,,,
emu:/test/etaxonomy/1012102-0,Safflorite,,,,,,,
emu:/test/etaxonomy/1008649-0,Mckinstryite,,,,,,,
emu:/test/etaxonomy/1013665-1,Stromeyerite,,,,,,,
